league_id,league_name
1,Argentina Primera División
2,Argentinian Primera B Nacional
3,Australian Hyundai A-League
4,Austrian Football Bundesliga
5,Belgian Jupiler Pro League
6,Campeonato Brasileiro Série A
7,Chilian Campeonato Nacional
8,Chinese Super League
9,Colombian Liga Postobón
10,Croatian Prva HNL
11,Czech Republic Gambrinus Liga
12,Danish Superliga
13,Ecuadorian Serie A
14,English League Championship
15,English League One
16,English League Two
17,English Premier League
18,Finnish Veikkausliiga
19,French Ligue 1
20,French Ligue 2
21,German 1. Bundesliga
22,German 2. Bundesliga
23,German 3. Bundesliga
24,Greek Super League
25,Holland Eredivisie
26,Italian Serie A
27,Italian Serie B
28,Japanese J. League Division 1
29,Korean K League Classic
30,Liga de Fútbol Profesional Boliviano
31,Mexican Liga MX
32,Norwegian Eliteserien
33,Paraguayan Primera División
34,Peruvian Primera División
35,Polish T-Mobile Ekstraklasa
36,Portuguese Liga ZON SAGRES
37,Rep. Ireland Airtricity League
38,Romanian Liga I
39,Russian Premier League
40,Saudi Abdul L. Jameel League
41,Scottish Premiership
42,South African Premier Division
43,Spain Primera Division
44,Spanish Segunda División
45,Swedish Allsvenskan
46,Swiss Super League
47,Turkish Süper Lig
48,UAE Arabian Gulf League
49,USA Major League Soccer
50,Ukrainian Premier League
51,Uruguayan Primera División
52,Venezuelan Primera División
