nationality_id,nationality_name
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua & Barbuda
7,Argentina
8,Armenia
9,Aruba
10,Australia
11,Austria
12,Azerbaijan
13,Barbados
14,Belarus
15,Belgium
16,Belize
17,Benin
18,Bermuda
19,Bolivia
20,Bosnia Herzegovina
21,Brazil
22,Bulgaria
23,Burkina Faso
24,Burundi
25,Cameroon
26,Canada
27,Cape Verde
28,Central African Republic
29,Chad
30,Chile
31,China PR
32,Chinese Taipei
33,Colombia
34,Comoros
35,Congo
36,Costa Rica
37,Croatia
38,Cuba
39,Curacao
40,Cyprus
41,Czech Republic
42,DR Congo
43,Denmark
44,Dominican Republic
45,Ecuador
46,Egypt
47,El Salvador
48,England
49,Equatorial Guinea
50,Eritrea
51,Estonia
52,Ethiopia
53,Faroe Islands
54,Finland
55,France
56,Gabon
57,Gambia
58,Georgia
59,Germany
60,Ghana
61,Greece
62,Grenada
63,Guam
64,Guinea
65,Guinea Bissau
66,Guyana
67,Haiti
68,Honduras
69,Hong Kong
70,Hungary
71,Iceland
72,India
73,Indonesia
74,Iran
75,Iraq
76,Israel
77,Italy
78,Ivory Coast
79,Jamaica
80,Japan
81,Jordan
82,Kazakhstan
83,Kenya
84,Korea DPR
85,Korea Republic
86,Kosovo
87,Latvia
88,Lebanon
89,Liberia
90,Libya
91,Liechtenstein
92,Lithuania
93,Luxembourg
94,Macau
95,Madagascar
96,Malawi
97,Malaysia
98,Mali
99,Malta
100,Mauritania
101,Mexico
102,Moldova
103,Montenegro
104,Montserrat
105,Morocco
106,Mozambique
107,Namibia
108,Netherlands
109,New Caledonia
110,New Zealand
111,Nicaragua
112,Niger
113,Nigeria
114,North Macedonia
115,Northern Ireland
116,Norway
117,Palestine
118,Panama
119,Papua New Guinea
120,Paraguay
121,Peru
122,Philippines
123,Poland
124,Portugal
125,Puerto Rico
126,Republic of Ireland
127,Romania
128,Russia
129,Rwanda
130,Saint Kitts and Nevis
131,Saint Lucia
132,Saudi Arabia
133,Scotland
134,Senegal
135,Serbia
136,Sierra Leone
137,Slovakia
138,Slovenia
139,South Africa
140,South Sudan
141,Spain
142,Sudan
143,Sweden
144,Switzerland
145,Syria
146,São Tomé & Príncipe
147,Tanzania
148,Thailand
149,Togo
150,Trinidad & Tobago
151,Tunisia
152,Turkey
153,Uganda
154,Ukraine
155,United Arab Emirates
156,United States
157,Uruguay
158,Uzbekistan
159,Venezuela
160,Wales
161,Zambia
162,Zimbabwe
